prompt,path,bucket,kl_contribution,prob_ref,prob_target,prob_shift
1,knowledge/01.txt,top1,0.232098,0.8465,0.7581,-0.0885
1,knowledge/01.txt,top2_10,0.121836,0.1438,0.2109,+0.0671
1,knowledge/01.txt,top11_100,0.008270,0.0091,0.0281,+0.0190
1,knowledge/01.txt,tail,0.000364,0.0006,0.0030,+0.0024
2,knowledge/02.txt,top1,0.283827,0.7947,0.6895,-0.1052
2,knowledge/02.txt,top2_10,0.133399,0.1932,0.2773,+0.0841
2,knowledge/02.txt,top11_100,0.010247,0.0115,0.0313,+0.0198
2,knowledge/02.txt,tail,0.000333,0.0006,0.0019,+0.0013
3,knowledge/03.txt,top1,0.329246,0.8045,0.6814,-0.1231
3,knowledge/03.txt,top2_10,0.173307,0.1861,0.2776,+0.0915
3,knowledge/03.txt,top11_100,0.007372,0.0090,0.0394,+0.0303
3,knowledge/03.txt,tail,0.000065,0.0003,0.0016,+0.0013
4,knowledge/04.txt,top1,0.351777,0.8296,0.7006,-0.1290
4,knowledge/04.txt,top2_10,0.176924,0.1653,0.2630,+0.0977
4,knowledge/04.txt,top11_100,0.002875,0.0049,0.0345,+0.0296
4,knowledge/04.txt,tail,-0.000002,0.0001,0.0018,+0.0017
5,knowledge/05.txt,top1,0.248860,0.8398,0.7511,-0.0887
5,knowledge/05.txt,top2_10,0.136986,0.1497,0.2182,+0.0686
5,knowledge/05.txt,top11_100,0.008563,0.0100,0.0281,+0.0182
5,knowledge/05.txt,tail,0.000090,0.0006,0.0025,+0.0020
6,knowledge/06.txt,top1,0.384393,0.8559,0.7230,-0.1329
6,knowledge/06.txt,top2_10,0.128745,0.1399,0.2496,+0.1097
6,knowledge/06.txt,top11_100,0.003763,0.0041,0.0251,+0.0210
6,knowledge/06.txt,tail,0.000011,0.0001,0.0024,+0.0023
7,knowledge/07.txt,top1,0.279219,0.8165,0.7179,-0.0987
7,knowledge/07.txt,top2_10,0.169403,0.1668,0.2290,+0.0622
7,knowledge/07.txt,top11_100,0.011792,0.0159,0.0480,+0.0322
7,knowledge/07.txt,tail,0.000232,0.0009,0.0051,+0.0042
8,knowledge/08.txt,top1,0.458890,0.8437,0.6741,-0.1696
8,knowledge/08.txt,top2_10,0.160807,0.1523,0.2789,+0.1267
8,knowledge/08.txt,top11_100,0.002951,0.0039,0.0448,+0.0408
8,knowledge/08.txt,tail,-0.000001,0.0001,0.0022,+0.0021
9,knowledge/09.txt,top1,0.192608,0.8566,0.7870,-0.0696
9,knowledge/09.txt,top2_10,0.116122,0.1363,0.1922,+0.0559
9,knowledge/09.txt,top11_100,0.004850,0.0067,0.0194,+0.0127
9,knowledge/09.txt,tail,0.000179,0.0005,0.0014,+0.0010
10,knowledge/10.txt,top1,0.260214,0.8577,0.7611,-0.0966
10,knowledge/10.txt,top2_10,0.110855,0.1340,0.2067,+0.0727
10,knowledge/10.txt,top11_100,0.006616,0.0079,0.0306,+0.0227
10,knowledge/10.txt,tail,0.000160,0.0004,0.0016,+0.0012
11,math/01.txt,top1,0.190424,0.8929,0.8066,-0.0864
11,math/01.txt,top2_10,0.056756,0.1034,0.1756,+0.0722
11,math/01.txt,top11_100,0.002023,0.0035,0.0171,+0.0136
11,math/01.txt,tail,0.000077,0.0002,0.0007,+0.0005
12,math/02.txt,top1,0.142031,0.9380,0.8718,-0.0662
12,math/02.txt,top2_10,0.036678,0.0610,0.1205,+0.0595
12,math/02.txt,top11_100,0.000063,0.0010,0.0075,+0.0065
12,math/02.txt,tail,-0.000011,0.0001,0.0002,+0.0001
13,math/03.txt,top1,0.239853,0.9067,0.8034,-0.1034
13,math/03.txt,top2_10,0.055469,0.0915,0.1855,+0.0940
13,math/03.txt,top11_100,0.001136,0.0017,0.0105,+0.0088
13,math/03.txt,tail,-0.000018,0.0001,0.0006,+0.0005
14,math/04.txt,top1,0.201263,0.8578,0.7708,-0.0871
14,math/04.txt,top2_10,0.099565,0.1387,0.2106,+0.0719
14,math/04.txt,top11_100,0.002146,0.0033,0.0173,+0.0140
14,math/04.txt,tail,0.000004,0.0001,0.0013,+0.0012
15,math/05.txt,top1,0.154367,0.9273,0.8542,-0.0732
15,math/05.txt,top2_10,0.044580,0.0713,0.1368,+0.0655
15,math/05.txt,top11_100,0.000529,0.0013,0.0080,+0.0067
15,math/05.txt,tail,0.000016,0.0001,0.0010,+0.0010
16,math/06.txt,top1,0.243109,0.8857,0.7851,-0.1006
16,math/06.txt,top2_10,0.100347,0.1117,0.1999,+0.0882
16,math/06.txt,top11_100,0.001564,0.0025,0.0144,+0.0119
16,math/06.txt,tail,0.000018,0.0002,0.0006,+0.0004
17,math/07.txt,top1,0.269053,0.8576,0.7397,-0.1179
17,math/07.txt,top2_10,0.122357,0.1388,0.2397,+0.1009
17,math/07.txt,top11_100,0.002873,0.0035,0.0200,+0.0165
17,math/07.txt,tail,0.000039,0.0001,0.0006,+0.0005
18,math/08.txt,top1,0.213486,0.9252,0.8448,-0.0804
18,math/08.txt,top2_10,0.061469,0.0729,0.1435,+0.0705
18,math/08.txt,top11_100,0.000660,0.0018,0.0113,+0.0095
18,math/08.txt,tail,-0.000008,0.0000,0.0004,+0.0004
19,math/09.txt,top1,0.242855,0.8980,0.8010,-0.0969
19,math/09.txt,top2_10,0.072880,0.1003,0.1883,+0.0880
19,math/09.txt,top11_100,0.001109,0.0017,0.0103,+0.0086
19,math/09.txt,tail,-0.000002,0.0001,0.0004,+0.0003
20,math/10.txt,top1,0.300235,0.8659,0.7370,-0.1289
20,math/10.txt,top2_10,0.091225,0.1305,0.2386,+0.1082
