prompt,path,temp,kl
1,knowledge/01.txt,0.5100,0.182724
1,knowledge/01.txt,0.5200,0.178832
1,knowledge/01.txt,0.5300,0.175192
1,knowledge/01.txt,0.5400,0.171791
1,knowledge/01.txt,0.5500,0.168618
1,knowledge/01.txt,0.5600,0.165661
1,knowledge/01.txt,0.5700,0.162909
1,knowledge/01.txt,0.5800,0.160352
1,knowledge/01.txt,0.5900,0.157982
1,knowledge/01.txt,0.6000,0.155790
1,knowledge/01.txt,0.6100,0.153768
1,knowledge/01.txt,0.6200,0.151908
1,knowledge/01.txt,0.6300,0.150205
1,knowledge/01.txt,0.6400,0.148650
1,knowledge/01.txt,0.6500,0.147239
1,knowledge/01.txt,0.6600,0.145965
1,knowledge/01.txt,0.6700,0.144823
1,knowledge/01.txt,0.6800,0.143809
1,knowledge/01.txt,0.6900,0.142917
1,knowledge/01.txt,0.7000,0.142144
1,knowledge/01.txt,0.7100,0.141484
1,knowledge/01.txt,0.7200,0.140935
1,knowledge/01.txt,0.7300,0.140493
1,knowledge/01.txt,0.7400,0.140154
1,knowledge/01.txt,0.7500,0.139915
1,knowledge/01.txt,0.7600,0.139774
1,knowledge/01.txt,0.7700,0.139727
1,knowledge/01.txt,0.7800,0.139771
1,knowledge/01.txt,0.7900,0.139905
1,knowledge/01.txt,0.8000,0.140127
1,knowledge/01.txt,0.8100,0.140433
1,knowledge/01.txt,0.8200,0.140822
1,knowledge/01.txt,0.8300,0.141292
1,knowledge/01.txt,0.8400,0.141841
1,knowledge/01.txt,0.8500,0.142469
1,knowledge/01.txt,0.8600,0.143172
1,knowledge/01.txt,0.8700,0.143951
1,knowledge/01.txt,0.8800,0.144803
1,knowledge/01.txt,0.8900,0.145728
1,knowledge/01.txt,0.9000,0.146725
2,knowledge/02.txt,0.5100,0.194470
2,knowledge/02.txt,0.5200,0.190183
2,knowledge/02.txt,0.5300,0.186157
2,knowledge/02.txt,0.5400,0.182379
2,knowledge/02.txt,0.5500,0.178835
2,knowledge/02.txt,0.5600,0.175514
2,knowledge/02.txt,0.5700,0.172405
2,knowledge/02.txt,0.5800,0.169498
2,knowledge/02.txt,0.5900,0.166783
2,knowledge/02.txt,0.6000,0.164251
2,knowledge/02.txt,0.6100,0.161895
2,knowledge/02.txt,0.6200,0.159706
2,knowledge/02.txt,0.6300,0.157677
2,knowledge/02.txt,0.6400,0.155802
2,knowledge/02.txt,0.6500,0.154074
2,knowledge/02.txt,0.6600,0.152487
2,knowledge/02.txt,0.6700,0.151036
2,knowledge/02.txt,0.6800,0.149716
2,knowledge/02.txt,0.6900,0.148522
2,knowledge/02.txt,0.7000,0.147449
2,knowledge/02.txt,0.7100,0.146493
2,knowledge/02.txt,0.7200,0.145650
2,knowledge/02.txt,0.7300,0.144916
2,knowledge/02.txt,0.7400,0.144288
2,knowledge/02.txt,0.7500,0.143762
2,knowledge/02.txt,0.7600,0.143336
2,knowledge/02.txt,0.7700,0.143006
2,knowledge/02.txt,0.7800,0.142769
2,knowledge/02.txt,0.7900,0.142624
2,knowledge/02.txt,0.8000,0.142567
2,knowledge/02.txt,0.8100,0.142596
2,knowledge/02.txt,0.8200,0.142710
2,knowledge/02.txt,0.8300,0.142906
2,knowledge/02.txt,0.8400,0.143183
2,knowledge/02.txt,0.8500,0.143538
2,knowledge/02.txt,0.8600,0.143970
2,knowledge/02.txt,0.8700,0.144477
2,knowledge/02.txt,0.8800,0.145059
2,knowledge/02.txt,0.8900,0.145714
2,knowledge/02.txt,0.9000,0.146441
3,knowledge/03.txt,0.5100,0.196968
3,knowledge/03.txt,0.5200,0.192809
3,knowledge/03.txt,0.5300,0.188901
3,knowledge/03.txt,0.5400,0.185231
3,knowledge/03.txt,0.5500,0.181786
3,knowledge/03.txt,0.5600,0.178555
3,knowledge/03.txt,0.5700,0.175527
3,knowledge/03.txt,0.5800,0.172692
3,knowledge/03.txt,0.5900,0.170041
3,knowledge/03.txt,0.6000,0.167565
3,knowledge/03.txt,0.6100,0.165257
3,knowledge/03.txt,0.6200,0.163107
3,knowledge/03.txt,0.6300,0.161111
3,knowledge/03.txt,0.6400,0.159260
